8:55 - 9:40,9:50 - 10:35,10:50 - 11:35,11:45 - 12:30,13:15 - 14:00,14:10 - 14:55,15:00 - 15:45,15:50 - 16:35
Matematyka,Matematyka,Podstawy informatyki,Podstawy informatyki,Podstawy informatyki,Grafika komputerowa,Bazy danych,Bazy danych
Polski,Polski,Fizyka,Fizyka,Biologia,Chemia,Angielski,Angielski
Matematyka,Podstawy programowania,Podstawy programowania,Geografia,Projektowanie stron internetowych,Projektowanie stron internetowych,Bazy danych,Bazy danych
WF,WF,WF,Godzina wychowawcza,Historia,Historia,Polski,EDB
Hiszpański/Niemiecki,Hiszpański/Niemiecki,HiT,Chiński,Chiński,Filozofia,Etyka,Etyka
